Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year Permanently Closed,Year First Opened
Barking and Dagenham,Castle Green,"Jo Richardson School, Gale Street",Dagenham,Essex,Barking and Dagenham,RM9 4UN,Static Library,2013,
Barking and Dagenham,Rush Green,Dagenham Road,Rush Green,Essex,Barking and Dagenham,RM7 0TL,Static Library,2013,
Birmingham,Birmingham Central,Chamberlain Square,Birmingham,West Midlands,Birmingham,B3 3HQ,Static Library,2013,
Brent,Town Hall,Brent Town Hall,Wembley,Middlesex,Brent,HA9 9HU,Static Library,2013,
"Bristol, City of",Trinity Road,Trinity Road,St Judes,Bristol,"Bristol, City of",BS2 0NW,Static Library,2013,
Camden,Regent's Park,Robert Street,London,Greater London,Camden,NW1 3QT,Static Library,2013,
Cheshire West and Chester,Saughall Library,"Vernon Institute, Church Lane",Saughall,Cheshire,Cheshire West and Chester,CH1 6EN,Static Library,2013,
Dorset,Dorchester,Colliton Park,Dorchester,Dorset,Dorset,DT1 1XJ,Static Library,2013,
Harrow,Civic Centre,Station Road,Harrow,Greater London ,Harrow,HA1 2XY,Static Library,2013,
Newcastle Upon Tyne,Moorside Library,"Moorside School, Beaconsfield Road",Newcastle upon Tyne,Tyne and Wear ,Newcastle Upon Tyne,NE4 5AW,Static Library,2013,1983
North Lincolnshire,Westcliff Library,Swinburne Road,Scunthorpe,North Lincolnshire,North Lincolnshire,DN17 1PT,Static Library,2013,
North Tyneside,Whitley Bay Library,Park Road,Whitley Bay,Tyne and Wear,North Tyneside,NE26 1EJ.,Static Library,2013,1966
Sefton,Aintree,Altway,Aintree,Merseyside,Sefton,L10 6LF,Static Library,2013,1961
Sefton,Birkdale,240-244 Liverpool Road,Birkdale ,Merseyside,Sefton,PR8 4PD,Static Library,2013,1974
Sefton,Churchtown,Mill Lane,Churchtown,Merseyside,Sefton,PR9 7PL,Static Library,2013,1920
Sefton,College Road,College Road,Great Crosby,Merseyside,Sefton,L23 3DP,Static Library,2013,1905
Sefton,Litherland,Linacre Road,Litherland,Merseyside,Sefton,L21 6NR,Static Library,2013,1937
Sefton,Orrell,Linacre Lane,Orrell,Merseyside,Sefton,L20 6ES,Static Library,2013,1955
Sefton,Ainsdale,Liverpool road,Ainsdale,Merseyside,Sefton,PR8 4PD,Static Library,2013,1929
Sunderland,Doxford Park,Mill Hill Road,Sunderland,Tyne and Wear,Sunderland,SR3 2ND,Static Library,2013,
Sunderland,Easington Lane,High Street,Sunderland,Tyne and Wear,Sunderland,DH5 0JW,Static Library,2013,
Sunderland,East Herrington,Atlantis Road,Sunderland,Tyne and Wear,Sunderland,SR3 3PF,Static Library,2013,
Sunderland,Fence Houses,Britannia Terrace,Fence Houses,Tyne and Wear,Sunderland,DH4 6HL,Static Library,2013,
Sunderland,Monkwearmouth,Church Street North,Sunderland,Tyne and Wear,Sunderland,SR6 0DR,Static Library,2013,
Sunderland,Silksworth,Beckwith Mews,Silksworth,Tyne and Wear,Sunderland,SR3 1HN,Static Library,2013,
Sunderland,Southwick,Beaumont Street,Sunderland,Tyne and Wear,Sunderland,SR5 2JR,Static Library,2013,
Sunderland,Washington Green,The Green,Washington,Tyne and Wear,Sunderland,NE38 7AB,Static Library,2013,
Sutton,Carshalton Library,The Square,Carshalton,Greater London,Sutton,SM5 3BN,Static Library,2013,
Trafford,Greatstone,Greatstone Road,Stretford,Greater Manchester,Trafford,M32 0ZS,Static Library,2013,
Barnsley,Central,Shambles Street,Barnsley ,South Yorkshire,Barnsley,S70 2JF,Static Library,2014,1975
Bromley,Anerley Library,"Anerley Town Hall, Anerley Road",Bromley,Greater London,Bromley,SE20 8BD,Static Library,2014,
East Riding Of Yorkshire,Anlaby,North Street,Anlaby,East Riding of Yorkshire,East Riding Of Yorkshire,HU10 7DE,Static Library,2014,
Luton,Sundon Park,Hill Rise,Luton,Bedfordshire,Luton,LU3 3EE,Static Library,2014,
Luton,Wigmore,Wigmore Lane,Luton,Bedfordshire,Luton,LU2 8DJ,Static Library,2014,
Manchester,Crumpsall & Cheetham Library,Cheetham Hill Road,Crumpsall,Greater Manchester ,Manchester,M8 9JN,Static Library,2014,
North East Lincolnshire,Nunsthorpe Library,"Nunsthorpe Community Campus, Sutcliffe Avenue ",Grimsby,NE Lincolnshire,North East Lincolnshire,DN33 1AW,Static Library,2014,
North East Lincolnshire,Willows Library,Binbrook Way,Grimsby ,NE Lincolnshire,North East Lincolnshire,DN37 9AS,Static Library,2014,
North Tyneside,Wallsend Library,Ferndale Avenue,Wallsend,Tyne and Wear,North Tyneside,NE28 7NB,Static Library,2014,1966
Rochdale,Wheatsheaf Library,"Wheatsheaf Centre, Baillie Street ",Rochdale,Greater Manchester,Rochdale,OL16 1JZ,Static Library,2014,1992
Stockton-on-Tees,Billingham Library,Bedale Avenue,Billingham,Stockton-on-Tees,Stockton-on-Tees,TS23 1AJ,Static Library,2014,
Stockton-on-Tees,Rosebery Library,The Causeway,Billingham,Stockton-on-Tees,Stockton-on-Tees,TS23 2LB,Static Library,2014,
Stockton-on-Tees,Roseworth Library,Redhill Road,Stockton,Stockton-on-Tees,Stockton-on-Tees,TS19 9BX,Static Library,2014,
Stockton-on-Tees,Thornaby Library,Westbury Street,Thornaby,Stockton-on-Tees,Stockton-on-Tees,TS17 6PG,Static Library,2014,
Stoke-on-Trent,Trentham Library,Trently Road,Stoke-on-Trent,Staffordshire ,Stoke-on-Trent,ST4 8PH,Static Library,2014,
Barnsley,Kendray,Thornton Road,Barnsley,South Yorkshire,Barnsley,S70 3NG,Static Library,2015,2000
Bradford,Girlington Library,Willow Street,Bradford,West Yorkshire,Bradford,BD8 9LT,Static Library,2015,
Bury,Sedgley Park library,St Gabriel's Church Community Room,Prestwich,Greater Manchester,Bury,M25 0HT,Static Library,2015,
Bury,South Cross Street library,90 South Cross Street,Bury ,Greater Manchester,Bury,BL9 0RS,Static Library,2015,
Cornwall,Roche Micro,Threemilestone,Truro,Cornwall,Cornwall,TR4 9LD,Static Library,2015,
Greenwich,East Greenwich Library,Woolwich Road,East Greenwich,,Greenwich,SE10 0RL,Static Library,2015,
Hampshire,Grayshott,Headley Road,Grayshott,Hampshire,Hampshire,GU26 6TZ,Static Library,2015,
Harrow,Bob Lawrence,"6-8 North Parade, Mollison Way",Edgware,Greater London ,Harrow,HA8 5QH,Static Library,2015,
Harrow,Hatch End,Uxbridge Road,Hatch End,Greater London ,Harrow,HA5 4EA,Static Library,2015,
Harrow,Rayners Lane,226 Imperial Drive,Harrow,Greater London ,Harrow,HA2 7HJ,Static Library,2015,
Lancashire,Wheatley Lane,Wheatley Close,Fence,Lancashire ,Lancashire,BB12 9QH,Static Library,2015,
Leeds,Methley Library,Saville Road,Methley,West Yorkshire,Leeds,LS26 9HS,Static Library,2015,
Lincolnshire,Skellingthorpe,Church Road,Skellingthorpe,Lincolnshire,Lincolnshire,LN6 5UW,Static Library,2015,
Lincolnshire,Tattershall Coningsby,High Street,Coningsby,Lincolnshire,Lincolnshire,LN4 4RB,Static Library,2015,
Lincolnshire,Washingborough,School Lane,Lincoln,Lincolnshire,Lincolnshire,LN4 1BW,Static Library,2015,
Manchester,Higher Blackley Library,Victoria Avenue,High Blackley,Greater Manchester ,Manchester,M9 0RA,Static Library,2015,
Manchester,Hulme Library,Hulme Walk,Manchester ,Greater Manchester ,Manchester,M15 5FQ,Static Library,2015,
Medway,Strood Library,32 Bryant Road,Strood,Kent,Medway,ME2 3EP,Static Library,2015,
Salford,Swinton Library,Chorley Road,Swinton,Greater Manchester,Salford,M27 6BP,Static Library,2015,
Solihull,Smith's Wood Neighbourhood Library,Burtons Way,Birmingham,West Midlands,Solihull,B36 0SZ,Static Library,2015,
South Tyneside,Hebburn,Station Road,Hebburn,Tyne and Wear,South Tyneside,NE31 1PN,Static Library,2015,
Southend,Friars,Constable Way,Shoeburyness ,Essex,Essex,SS3 9UU,Static Library,2015,
Southend,Thorpedene,Delaware Road,Southend-on-Sea,Essex,Essex,SS3 9NW,Static Library,2015,
Swindon,Blunsdon Community Book Collection,"Blunsdon Village Hall, High Street, Blunsdon",Blunsdon,Wiltshire,Swindon,SN26 7AR,Static Library,2015,2014
Trafford,Bowfell,"Urmston Leisure Centre, Bowfell Road",Urmston,Greater Manchester,Trafford,M41 5RR,Static Library,2015,
Trafford,Davyhulme,Hayeswater Road,Davyhulme,Greater Manchester,Trafford,M41 7BL,Static Library,2015,
Birmingham,West Heath Library,The Fordrough ,Birmingham,West Midlands,Birmingham,B31 3LX,Static Library,2016,
"Bristol, City of",Eastville,Muller Road,Eastville,Bristol,"Bristol, City of",BS5 6XP,Static Library,2016,
Bury,New Kershaw Centre Library,"New Kershaw Centre, Deal Street",Bury,Greater Manchester,Bury,BL9 7PZ,Static Library,2016,
Cheshire West and Chester,Bishops' High Library,Vaughans Lane,Chester,Cheshire,Cheshire West and Chester,CH3 5XF,Static Library,2016,
Cheshire West and Chester,Elton Library,Elton Community Centre,Elton,Cheshire,Cheshire West and Chester,CH2 4PU,Static Library,2016,
Cheshire West and Chester,Willaston Library,"Willaston Methodist Church, Neston Road",Willaston,Cheshire,Cheshire West and Chester,CH64 2TL,Static Library,2016,
Coventry,Arena Park,"Arena Park Shopping Centre, Classic Drive",Rowley's Green,West Midlands,Coventry,CV6 6AS,Static Library,2016,
Cumberland,Thornhill Library,Ehen Road,Thornhill,Cumbria,Cumberland,CA22 2SJ,Static Library,2016,
Gateshead,Lobley Hill (Book Collection),"Lobley Hill Community Centre, Scafell Gardens",Lobley Hill,Tyne and Wear,Gateshead,NE11 9LS,Static Library,2016,
Kirklees,Lepton Library,Highgate Lane ,Huddersfield,West Yorkshire,Kirklees,HD8 0HB,Static Library,2016,
Kirklees,Thornhill Lees Library,Brewery Lane,Dewsbury,West Yorkshire,Kirklees, WF12 9DU,Static Library,2016,
Lancashire,Briercliffe,Jubilee Street,Burnley    ,Lancashire ,Lancashire,BB10 2JD,Static Library,2016,
Lancashire,Chatsworth,Chatsworth Avenue,Fleetwood,Lancashire ,Lancashire,FY7 8EG,Static Library,2016,
Lancashire,Northfleet,Northfleet Avenue,Fleetwood,Lancashire ,Lancashire,FY7 7ND,Static Library,2016,2013
Lancashire,Read,41 Whalley Road,Burnley,Lancashire ,Lancashire,BB12 7PB,Static Library,2016,
Lancashire,Rosegrove,Lowerhouse Lane,Burnley,Lancashire ,Lancashire,BB12 6HU,Static Library,2016,
Leeds,Burley Library,Cardigan Road,Leeds,West Yorkshire,Leeds,LS6 1QL,Static Library,2016,
Manchester,Levenshulme Library,Cromwell Grove,Manchester,Greater Manchester ,Manchester,M19 3QE,Static Library,2016,
Oxfordshire,Children's Mobile North,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Oxfordshire,Children's Mobile Sorth,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Oxfordshire,East Mobile,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Oxfordshire,North Mobile,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Oxfordshire,South Mobile,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Oxfordshire,West Mobile,[Unknown],,,Oxfordshire,[Unknown],Mobile Library,2016,
Shropshire,Shawbury,"Parish Hall, Church Street",Shawbury,Shropshire,Shropshire,SY4 4NH,Static Library,2016,
Slough,Central Library,85 A332,Slough,Berkshire,Slough,SL1 1EA,Static Library,2016,
South Tyneside,Chuter Ede Library Access Point,Galsworthy Road,South Shields,Tyne and Wear,South Tyneside,NE34 9UG,Static Library,2016,
Stockton-on-Tees,Ragworth Neighbourhood Centre Library,St. John's Way,Stockon,Stockton-on-Tees,Stockton-on-Tees,TS19 0FB,Static Library,2016,
Sutton,Beddington Library,The Broadway,Beddington,Greater London,Sutton,CR0 4QR,Static Library,2016,
Telford and Wrekin,Dawley,"Phoenix Academy, Duce Drive","Dawley, Telford",Shropshire,Telford and Wrekin,TF4 3JS,Static Library,2016,
Barnet,Church End,24 Hendon Lane,London,Greater London,Barnet,N3 1SA,Static Library,2017,
Birmingham,Kents Moat Library,55-57 Poolway,Birmingham,West Midlands,Birmingham,B33 8NF,Static Library,2017,
"Bristol, City of",Cheltenham Road,Cheltenham Road,,Bristol,"Bristol, City of",BS6 5QX,Static Library,2017,
"Bristol, City of",Lawrence Weston,Ridingleaze House,Lawrence Weston,Bristol,"Bristol, City of",BS11 0QE,Static Library,2017,
Bury,Ainsworth Library,Church Street,Bury,Greater Manchester,Bury,BL2 5RT,Static Library,2017,
Bury,Brandlesholme Community Centre & Library,Brandlesholme Road,Bury,Greater Manchester,Bury,BL8 1HS,Static Library,2017,2010
Bury,Castle Leisure Centre Library,Bolton Street,Bury,Greater Manchester,Bury,BL9 0EZ,Static Library,2017,
Bury,Coronation Road Community Centre & Library,Westminster Avenue,Bury,Greater Manchester,Bury,M26 3WD,Static Library,2017,2010
Bury,Dumers Lane Community Centre & Library,245 Dumers Lane,Bury,Greater Manchester,Bury,M26 2GN,Static Library,2017,2010
Bury,Moorside Community Centre & Library,Parkinson Street,Bury,Greater Manchester,Bury,BL9 6NY,Static Library,2017,2010
Bury,Topping Fold Community Centre & Library,36 Topping Fold Road,Bury,Greater Manchester,Bury,BL9 7NG,Static Library,2017,
Bury,Unsworth Library,Sunnybank Road ,Bury,Greater Manchester,Bury,BL9 8ED,Static Library,2017,
Bury,Whitefield Library & Adult Learning Centre,Pinfold Lane,Bury,Greater Manchester,Bury,M45 7NY,Static Library,2017,
Calderdale,Halifax Central Library (Old building),Northgate,Halifax,West Yorkshire,Calderdale,HX1 1UN,Static Library,2017,
Cheshire West and Chester,Chester Library,Northgate Street,Chester,Cheshire,Cheshire West and Chester,CH1 2EF,Static Library,2017,
Cornwall,Bodmin Library and One Stop Shop,Lower Bore Street,Bodmin,Cornwall,Cornwall,PL31 2JX,Static Library,2017,
Cornwall,Nanpean Micro,"The Grenville Arms, Fore Street",St. Austell,Cornwall,Cornwall,PL26 7YE,Static Library,2017,
Cornwall,St. Keverne Library,St. Keverne Primary School,Helston,Cornwall,Cornwall,TR12 6NQ,Static Library,2017,
Cumberland,Petteril Bank House Library Link,"Lady Gillford's house, Petteril Bank Road",Carlisle,Cumbria,Cumberland,CA1 3AJ,Static Library,2017,2012
Cumberland,St. Bees Book Drop,"St. Bees Village School, Main Street",St. Bees,Cumbria,Cumberland,CA27 0AA,Static Library,2017,
Gateshead,Sunderland Road,Herbert Street,Gateshead,Tyne and Wear,Gateshead,NE8 3PA,Static Library,2017,
Islington,John Barnes Library,"Pangbourne House, Camden Road",London,Middlesex,Islington,N7 0BD,Static Library,2017,
Medway,Thomas Aveling School & Community Library,Arethusa Road,Rochester,Kent,Medway,ME1 2UW,Static Library,2017,
Northumberland,Cowpen,"Community College, Chase Farm Drive",Blyth,Northumberland,Northumberland,NE24 4JP,Static Library,2017,
Nottingham,Bakersfield Library,Watson Avenue,Nottingham,Nottinghamshire,Nottingham,NG3 7BN,Static Library,2017,
Nottingham,Sneinton Library,Sneinton Boulevard,Nottingham,Nottinghamshire,Nottingham,NG2 4FD,Static Library,2017,
Plymouth,Eggbuckland Library,"Eggbuckland College, Westcott Close ",Plymouth,Devon,Plymouth,PL6 5YB,Static Library,2017,
Plymouth,Ernesettle Library,3 Hornchurch Road,Plymouth,Devon,Plymouth,PL5 2TQ,Static Library,2017,
Plymouth,Laira Library,240 Old Laira Road,Plymouth,Devon,Plymouth,PL3 6AF,Static Library,2017,
Plymouth,Tothill Library,"Tothill Community Centre, Knighton Road",Plymouth,Devon,Plymouth,PL4 9DA,Static Library,2017,
St. Helens,Central Library,Victoria Square,St. Helens,Merseyside,St. Helens,WA10 1DY,Static Library,2017,
Stockton-on-Tees,Egglescliffe Library,Butterfield Drive,Eaglescliffe,Stockton-on-Tees,Stockton-on-Tees,TS16 0EL,Static Library,2017,
Sunderland,Bunny Hill,Hylton Lane,Sunderland,Tyne and Wear,Sunderland,SR5 4BW,Static Library,2017,
Sunderland,Ryhope,Black Road,Sunderland,Tyne and Wear,Sunderland,SR2 0RX,Static Library,2017,
